id_prodi,kode_prodi,tahun,daya_tampung,peminat,diterima,keketatan
112013,11121013,2021,60,55,33,109.09%
112013,11121013,2022,60,57,19,105.26%
112013,11121013,2023,60,50,34,120%
112013,11121013,2024,60,51,30,117.65%
112013,11121013,2025,60,66,42,90.91%
112014,11121014,2021,60,118,60,50.85%
112014,11121014,2022,60,138,55,43.48%
112014,11121014,2023,60,125,60,48%
112014,11121014,2024,60,107,60,56.07%
112014,11121014,2025,60,155,60,38.71%
112015,11121015,2021,30,19,8,157.89%
112015,11121015,2022,30,19,9,157.89%
112015,11121015,2023,30,25,18,120%
112015,11121015,2024,30,18,12,166.67%
112015,11121015,2025,30,36,27,83.33%
112016,11121016,2021,100,168,97,59.52%
112016,11121016,2022,100,260,100,38.46%
112016,11121016,2023,100,253,100,39.53%
112016,11121016,2024,100,284,100,35.21%
112016,11121016,2025,100,264,100,37.88%
112017,11121017,2021,30,32,17,93.75%
112017,11121017,2022,30,55,30,54.55%
112017,11121017,2023,30,41,21,73.17%
112017,11121017,2024,45,47,34,95.74%
112017,11121017,2025,50,54,39,92.59%
112018,11121018,2021,60,8,4,750%
112018,11121018,2022,60,11,9,545.45%
112018,11121018,2023,60,13,9,461.54%
112018,11121018,2024,60,13,9,461.54%
112018,11121018,2025,50,31,25,161.29%
112019,11121019,2021,50,22,13,227.27%
112019,11121019,2022,50,34,9,147.06%
112019,11121019,2023,50,39,29,128.21%
112019,11121019,2024,50,43,36,116.28%
112019,11121019,2025,50,50,42,100%
112020,11121020,2021,150,662,151,22.66%
112020,11121020,2022,150,731,150,20.52%
112020,11121020,2023,150,649,150,23.11%
112020,11121020,2024,165,616,165,26.79%
112020,11121020,2025,200,587,200,34.07%
112021,11121021,2021,125,389,125,32.13%
112021,11121021,2022,125,391,125,31.97%
112021,11121021,2023,125,411,125,30.41%
112021,11121021,2024,140,325,140,43.08%
112021,11121021,2025,155,386,155,40.16%
112022,11121022,2021,125,117,60,106.84%
112022,11121022,2022,125,124,52,100.81%
112022,11121022,2023,125,121,92,103.31%
112022,11121022,2024,140,85,61,164.71%
112022,11121022,2025,140,117,80,119.66%
112023,11121023,2021,160,197,104,81.22%
112023,11121023,2022,160,262,111,61.07%
112023,11121023,2023,160,302,160,52.98%
112023,11121023,2024,160,260,160,61.54%
112023,11121023,2025,175,280,175,62.5%
112024,11121024,2021,80,145,63,55.17%
112024,11121024,2022,80,185,80,43.24%
112024,11121024,2023,80,173,80,46.24%
112024,11121024,2024,80,163,80,49.08%
112024,11121024,2025,103,192,103,53.65%
112025,11121025,2021,100,51,31,196.08%
112025,11121025,2022,100,59,19,169.49%
112025,11121025,2023,100,81,51,123.46%
112025,11121025,2024,100,62,38,161.29%
112025,11121025,2025,100,45,31,222.22%
112026,11121026,2021,80,26,18,307.69%
112026,11121026,2022,80,50,21,160%
112026,11121026,2023,80,48,28,166.67%
112026,11121026,2024,80,35,20,228.57%
112026,11121026,2025,50,59,37,84.75%
112027,11121027,2021,160,308,160,51.95%
112027,11121027,2022,160,395,160,40.51%
112027,11121027,2023,160,388,160,41.24%
112027,11121027,2024,160,306,160,52.29%
112027,11121027,2025,175,294,175,59.52%
112028,11121028,2021,225,384,225,58.59%
112028,11121028,2022,225,398,223,56.53%
112028,11121028,2023,225,432,225,52.08%
112028,11121028,2024,225,354,225,63.56%
112028,11121028,2025,275,381,275,72.18%
112029,11121029,2021,80,296,80,27.03%
112029,11121029,2022,80,194,80,41.24%
112029,11121029,2023,80,194,80,41.24%
112029,11121029,2024,80,157,80,50.96%
112029,11121029,2025,103,162,99,63.58%
112030,11121030,2021,75,338,75,22.19%
112030,11121030,2022,75,389,76,19.28%
112030,11121030,2023,75,433,75,17.32%
112030,11121030,2024,75,392,75,19.13%
112030,11121030,2025,98,379,98,25.86%
112031,11121031,2021,50,237,50,21.1%
112031,11121031,2022,50,181,50,27.62%
112031,11121031,2023,50,255,50,19.61%
112031,11121031,2024,50,298,50,16.78%
112031,11121031,2025,90,384,90,23.44%
112032,11121032,2021,60,113,60,53.1%
112032,11121032,2022,60,163,60,36.81%
112032,11121032,2023,60,156,60,38.46%
112032,11121032,2024,60,199,60,30.15%
112032,11121032,2025,75,264,75,28.41%
112033,11121033,2021,35,82,35,42.68%
112033,11121033,2022,35,71,24,49.3%
112033,11121033,2023,35,69,35,50.72%
112033,11121033,2024,50,80,50,62.5%
112033,11121033,2025,60,98,60,61.22%
112034,11123034,2023,20,100,20,20%
112034,11123034,2024,20,124,24,16.13%
112034,11123034,2025,50,158,50,31.65%
113001,11131001,2021,48,69,54,69.57%
113001,11131001,2022,48,89,64,53.93%
113001,11131001,2023,52,111,52,46.85%
113001,11131001,2024,60,94,57,63.83%
113001,11131001,2025,60,100,60,60%
113002,11131002,2021,28,75,59,37.33%
113002,11131002,2022,48,84,65,57.14%
113002,11131002,2023,56,111,56,50.45%
113002,11131002,2024,64,80,62,80%
113002,11131002,2025,64,103,64,62.14%
113003,11131003,2021,24,34,18,70.59%
113003,11131003,2022,40,46,28,86.96%
113003,11131003,2023,40,95,40,42.11%
113003,11131003,2024,48,97,48,49.48%
113003,11131003,2025,48,123,48,39.02%
113004,11131004,2021,36,108,60,33.33%
113004,11131004,2022,48,111,66,43.24%
113004,11131004,2023,48,101,48,47.52%
113004,11131004,2024,48,72,44,66.67%
113004,11131004,2025,48,79,48,60.76%
113005,11131005,2021,40,98,66,40.82%
113005,11131005,2022,40,58,35,68.97%
113005,11131005,2023,40,86,40,46.51%
113005,11131005,2024,40,44,27,90.91%
